                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.78091,                0.17493,                 1.0741,                0.86778,                0.86759,                0.90335,                0.58155,                 1.2395,                0.25442,                 1.4189,              0.0017633,              0.0017633,              0.0017633
                     58,                0.78707,                 0.1744,                 1.0771,                0.87342,                0.85093,                0.89802,                0.55755,                 1.3014,                0.26049,                 1.4694,              0.0017399,              0.0017399,              0.0017399
                     59,                0.76323,                0.17041,                 1.0655,                0.87097,                0.87192,                0.90821,                0.57976,                 1.2412,                0.24605,                 1.4525,              0.0017164,              0.0017164,              0.0017164
                     60,                0.78199,                0.17141,                 1.0703,                0.86554,                0.87181,                 0.9057,                0.57043,                 1.2714,                0.25729,                 1.4794,              0.0016926,              0.0016926,              0.0016926
                     61,                0.75098,                0.16664,                 1.0619,                0.87923,                 0.8553,                0.90784,                0.58061,                   1.24,                0.24976,                 1.4719,              0.0016688,              0.0016688,              0.0016688
                     62,                0.75181,                0.16493,                 1.0567,                 0.8753,                0.86259,                0.90907,                0.58787,                 1.2267,                0.24799,                 1.4508,              0.0016448,              0.0016448,              0.0016448
                     63,                0.71599,                0.16206,                  1.036,                0.87087,                0.85158,                 0.9042,                0.58311,                 1.2458,                0.25507,                 1.4673,              0.0016206,              0.0016206,              0.0016206
                     64,                 0.7087,                0.15971,                 1.0305,                0.87595,                0.85857,                0.90786,                0.57713,                 1.2545,                0.25279,                  1.461,              0.0015964,              0.0015964,              0.0015964
                     65,                0.70114,                0.15882,                 1.0289,                0.86709,                0.86716,                0.90508,                0.56667,                 1.2945,                0.25475,                 1.4866,              0.0015721,              0.0015721,              0.0015721
                     66,                0.70223,                0.15688,                 1.0239,                0.86885,                 0.8624,                0.90008,                0.56808,                 1.2693,                0.25604,                 1.4755,              0.0015477,              0.0015477,              0.0015477
                     67,                0.70174,                0.15508,                 1.0267,                0.87171,                 0.8624,                0.90177,                0.57293,                 1.2614,                0.25112,                 1.4911,              0.0015232,              0.0015232,              0.0015232
                     68,                0.67784,                0.15097,                 1.0133,                0.88324,                0.85634,                0.90438,                0.57493,                 1.2681,                0.25455,                 1.5052,              0.0014986,              0.0014986,              0.0014986
                     69,                 0.6913,                0.15193,                 1.0203,                0.87525,                0.86067,                0.90925,                0.57862,                 1.2632,                0.24887,                 1.5075,               0.001474,               0.001474,               0.001474
                     70,                0.67731,                0.15069,                  1.011,                0.88564,                0.85954,                0.91034,                0.57921,                 1.2596,                0.24703,                 1.4847,              0.0014494,              0.0014494,              0.0014494
                     71,                 0.6653,                0.14847,                0.99809,                0.88532,                0.85516,                0.90587,                0.58308,                 1.2531,                0.25392,                 1.4712,              0.0014247,              0.0014247,              0.0014247
                     72,                0.65126,                0.14677,                0.99502,                0.87813,                0.86519,                0.91107,                0.58738,                 1.2434,                0.24675,                 1.4758,                 0.0014,                 0.0014,                 0.0014
                     73,                0.63097,                0.14266,                0.98364,                0.87644,                 0.8611,                0.90495,                 0.5738,                 1.2652,                0.24949,                 1.4984,              0.0013753,              0.0013753,              0.0013753
                     74,                0.64674,                0.14303,                 0.9831,                0.86876,                0.86305,                0.90404,                0.57637,                 1.2525,                0.25018,                  1.507,              0.0013506,              0.0013506,              0.0013506
                     75,                0.62714,                0.14069,                0.98206,                0.87622,                0.85766,                0.90589,                0.57105,                 1.2809,                0.24919,                 1.5369,               0.001326,               0.001326,               0.001326
                     76,                0.61462,                0.13862,                0.97682,                0.88731,                0.84768,                0.90503,                0.56972,                 1.2913,                0.25326,                 1.5451,              0.0013014,              0.0013014,              0.0013014
                     77,                 0.6213,                0.14084,                0.98433,                0.86928,                0.86153,                 0.9045,                0.57522,                 1.2632,                0.25157,                 1.5462,              0.0012768,              0.0012768,              0.0012768
                     78,                0.63349,                  0.141,                0.98319,                0.87122,                0.85547,                0.90571,                0.58012,                 1.2531,                0.25227,                 1.5198,              0.0012523,              0.0012523,              0.0012523
                     79,                0.59496,                0.13658,                0.96786,                0.88271,                0.85158,                 0.9092,                0.58427,                 1.2453,                0.25127,                 1.5067,              0.0012279,              0.0012279,              0.0012279
                     80,                0.59428,                 0.1349,                0.96023,                0.88319,                0.85554,                0.90503,                0.57452,                 1.2882,                0.26085,                 1.5294,              0.0012036,              0.0012036,              0.0012036
                     81,                0.58849,                0.13295,                0.95953,                0.88262,                0.85246,                0.90624,                0.57445,                 1.2752,                0.25531,                 1.5278,              0.0011794,              0.0011794,              0.0011794
                     82,                0.59724,                0.13356,                0.96215,                0.88642,                0.85201,                0.90506,                0.57912,                 1.2554,                0.25284,                 1.5192,              0.0011552,              0.0011552,              0.0011552
                     83,                0.56784,                0.12941,                0.95379,                0.87716,                0.86359,                0.90484,                0.57997,                 1.2687,                0.24948,                 1.5344,              0.0011312,              0.0011312,              0.0011312
                     84,                0.55755,                0.12808,                0.94327,                 0.8795,                0.86378,                0.90647,                0.58281,                  1.251,                0.24807,                 1.5414,              0.0011074,              0.0011074,              0.0011074
                     85,                0.55184,                0.12646,                0.94106,                0.87215,                0.86564,                0.90596,                0.58461,                 1.2455,                0.24538,                 1.5396,              0.0010836,              0.0010836,              0.0010836
                     86,                0.53747,                0.12378,                0.93152,                0.87576,                0.86067,                0.90489,                0.58363,                 1.2545,                0.24742,                 1.5461,              0.0010601,              0.0010601,              0.0010601
                     87,                 0.5258,                0.12198,                0.92635,                0.88104,                0.84767,                0.90343,                0.58577,                 1.2578,                0.26302,                 1.5286,              0.0010367,              0.0010367,              0.0010367
